structure,Max_depth,Score_support,Min_samples_split,Min_bin_exp,D,Cohen,Random_proj_exp,Random_proj_depth,Weight-,Acceleration+,Mpg+,N+
8,3,4,16,0.397815982832956,2,1.19766071174842,0.4353376636756,4,2255,16,30,211
11,4,2,13,0.359783370578512,2,0.113084838986933,0.515381752489305,4,1995,17.5,30,71
12,5,1,11,0.65727268914728,1,0.407524430974508,0.687522035906906,5,2234,16.1,30,203
13,4,2,35,0.150906606997275,4,0.658396599201431,0.332489500250664,5,2155,16.4,30,79
29,2,1,18,0.164198245649205,3,1.09885529925799,0.535377965413574,2,2234,16.1,30,203
11,3,1,17,0.363204076266216,1,0.245876221530432,0.330425535543263,2,2234,16.1,30,203
31,5,1,18,0.117878824121128,3,0.770506375734683,0.627209043918793,2,2234,16.1,30,203
26,5,4,13,0.346590503387364,1,1.09095618366436,0.545505339769721,4,2265,16,30,216
15,3,3,49,0.366160683922656,3,1.05505749514758,0.642969329838626,2,2234,16.1,30,203
12,2,3,23,0.858839722961367,4,0.641059651003223,0.574043698611758,3,2155,16.4,30,79
29,4,3,7,0.826418575313177,1,0.544033212930609,0.339581460504999,5,2155,16.4,30,79
28,4,1,28,0.102653141416052,1,0.602148380503717,0.5858470161886,5,2234,16.1,30,203
13,2,3,37,0.800468916428289,4,0.464528885475523,0.686025137188078,4,2234,16.1,30,203
19,2,2,10,0.2389935191874,4,0.646879471936224,0.651602903366961,3,2155,16.4,30,79
16,3,3,50,0.716651753617583,3,0.698087924792448,0.528704322166645,4,2155,16.4,30,79
3,5,3,40,0.584095689781842,2,0.325085230306257,0.682139524963287,3,2234,16.1,30,203
9,4,2,29,0.123703548658355,1,0.53368632908914,0.320381885466618,3,2155,16.4,30,79
25,4,2,12,0.653515477395958,2,0.395645718171804,0.556238737610496,3,2164,16.5,30,31
12,5,4,36,0.726286405293218,1,0.912471282148356,0.686622252703125,5,2234,16.1,30,203
25,5,3,31,0.751947272349943,4,0.832568338068806,0.387387924822883,4,2385,16.5,30,135
7,5,2,27,0.736342574193481,1,1.23750576678906,0.665183361590294,3,2234,16.1,30,203
21,3,4,14,0.413795517726012,3,1.43056996803029,0.355391793651214,3,2560,16,30,305
30,4,4,15,0.194921984401491,3,0.27989110992819,0.470623627143189,3,2155,16.4,30,79
3,3,4,15,0.412788684922159,4,0.791512915430806,0.409133353892467,5,2155,16.4,30,79
25,3,4,12,0.670173723116689,4,0.701409131359357,0.490236468989297,2,2234,16.1,30,203
21,2,4,44,0.865761008426382,3,0.937357987964777,0.452429788779684,3,2155,16.4,30,79
30,2,3,9,0.180322206164877,2,0.915820194466535,0.505564494890454,4,2220,16,30,191
20,4,1,11,0.133995455286488,1,1.17207547425513,0.317707079437937,2,2234,16.1,30,203
14,3,1,31,0.271306716307392,3,1.36415091658163,0.579430326567662,4,2234,16.1,30,203
19,4,3,10,0.166166055690865,3,0.425317149112163,0.682417575299645,2,2234,16.1,30,203
13,5,2,24,0.601670655327656,4,0.103197570789243,0.352337222829316,2,2234,16.1,30,203
3,3,3,16,0.307112369650427,4,0.754626903350034,0.306098317729484,3,2605,16.4,30,183
20,2,3,21,0.183172885210457,2,1.22854263307181,0.530896308035146,3,2155,16.4,30,79
1,3,4,34,0.684675789185715,4,1.24125379374357,0.63834877394562,2,2234,16.1,30,203
18,3,3,38,0.405805274683193,1,1.04558517114599,0.681400344509913,4,2234,16.1,30,203
23,2,4,48,0.39267791131228,3,0.124199613100218,0.356075048054541,5,1985,19,30,37
29,2,3,18,0.874088867606989,1,1.01587557985226,0.557280092190668,5,2155,16.4,30,79
25,5,2,38,0.129736718088641,3,0.311883920764604,0.513301903642279,5,2457.5,16.4,30,276
19,2,4,44,0.72478409477701,2,0.823574163516809,0.49057398918187,2,2234,16.1,30,203
21,4,3,35,0.878033270968184,2,1.22038344991403,0.363845765836682,3,2155,16.4,30,79
3,2,1,27,0.650136020542892,3,1.28183039855835,0.354455831467449,5,2070,16.4,30,109
7,2,2,23,0.42553622796426,4,0.977918954837775,0.313431733273263,4,2155,16.4,30,79
2,2,2,46,0.377874488982523,4,0.453073022064172,0.644152141820606,2,2234,16.1,30,203
20,2,2,14,0.767967206735773,4,0.125347721261719,0.638286112051835,3,2155,16.4,30,79
27,4,3,41,0.477361926301442,1,1.37730039971351,0.385204526893944,4,2155,16.4,30,79
14,2,4,39,0.657548128909741,3,0.549542298832509,0.332784138993162,2,2234,16.1,30,203
20,5,4,45,0.546924059909832,1,1.18157889668338,0.45391917192762,4,1990,19,30,25
16,5,1,32,0.121286112850411,4,0.581481705512523,0.571674865664143,5,2234,16.1,30,203
31,4,1,25,0.391969759409204,1,1.01794589867848,0.432213829207125,4,2070,16.4,30,109
23,4,3,44,0.616836925638877,2,0.676438457890518,0.306008624606076,3,2155,16.4,30,79
16,2,3,9,0.303714924436828,4,1.02916228530134,0.32404553436575,4,2672,15.6,20,355
17,3,1,40,0.699821257294446,4,1.39385096445012,0.473721184545366,2,2234,16.1,30,203
