structure,max_depth,score_support,min_samples_split,min_bin_exp,d,cohen,random_proj_exp,random_proj_depth,Weight-,Acceleration+,Mpg+,N+
10,3,4,28,0.342727712060771,3,1.4424653461041,0.344074451846367,2,2234,16.1,30,203
3,2,4,44,0.425486128004931,1,0.952083623721302,0.667082814747606,3,2234,16.1,30,203
19,5,2,18,0.418906354799035,1,0.440204066100759,0.46716736224748,2,2234,16.1,30,203
27,3,1,29,0.318891349115214,2,0.190455843903069,0.324727025275649,4,1996.5,16.9,30,20
16,5,4,45,0.247030586958108,1,0.671895007824042,0.462250642529196,5,2155,16.4,30,79
13,5,1,43,0.695416553026215,2,0.983909054805975,0.434302929461867,3,2234,16.1,30,203
31,4,2,25,0.331108413845835,4,0.52935390127963,0.510760403102111,2,2234,16.1,30,203
29,5,4,44,0.764353924740822,1,1.26084660666822,0.505998214639499,2,2234,16.1,30,203
30,5,4,44,0.831133626309014,2,1.17114997049293,0.462978875709075,2,2234,16.1,30,203
24,3,2,46,0.644184405276717,4,0.525220015361055,0.303741628814113,3,2155,16.4,30,79
28,4,3,25,0.664628449295925,2,0.844474565686533,0.625531821807235,2,2234,16.1,30,203
23,4,4,10,0.170152851294174,1,0.145195214992144,0.503873734714912,5,2155,16.4,30,79
5,4,1,35,0.516813916205398,4,0.818029544242068,0.63256022870546,2,2234,16.1,30,203
6,5,2,27,0.532328493275201,2,1.22788787520959,0.348156673423758,5,2155,16.4,30,79
4,3,1,9,0.633526254679626,1,0.487706467191272,0.392715205923453,2,2234,16.1,30,203
26,2,1,12,0.723684535740546,1,1.19605895666945,0.396856942598294,3,2234,16.1,30,203
15,2,2,27,0.205453967143162,4,0.378812031148628,0.485939747421418,2,2234,16.1,30,203
19,4,1,20,0.87192361808205,4,0.399687444615148,0.381621743250941,3,2155,16.4,30,79
22,5,4,22,0.137495621100612,1,0.165030595346104,0.511231414875011,3,2234,16.1,30,203
8,3,3,50,0.890710017272162,1,0.223770639343963,0.390832028552074,2,2155,16.4,30,79
8,5,3,47,0.320555804067589,2,1.48098166658954,0.579404561104761,3,2472,16.4,30,279
30,4,1,10,0.746241812951491,3,0.982855932209946,0.348631861385353,3,2234,16.1,30,203
3,4,3,34,0.18525974433039,4,0.851776218008646,0.67747091540292,3,2234,16.1,30,203
14,5,2,15,0.595244363020544,1,0.307093106694412,0.324249291164908,2,2234,16.1,30,203
26,2,3,36,0.663749651100198,1,0.509215224449179,0.643065185769468,4,2335,16,30,133
27,2,3,21,0.102752953674742,3,0.814762040423532,0.452543758118556,5,2427,16.4,30,72
10,5,1,32,0.451796386840134,3,0.695524135590176,0.582745423766797,5,2234,16.1,30,203
17,2,2,22,0.29580409036981,1,1.38998225017955,0.667615649421825,2,2265,16,30,216
23,2,3,8,0.875267172551073,2,0.789804731063083,0.369910224106323,5,2155,16.4,30,79
11,2,4,26,0.121581617410505,1,0.564687980297532,0.466252828798616,5,2861.5,15.5,20,246
13,2,3,29,0.245235486600694,1,0.207787269735517,0.417494815287044,5,2155,16.4,30,79
7,2,2,22,0.848911137374293,3,0.439193143127063,0.578131786673586,3,2265,16,30,216
28,3,4,16,0.434630429304713,4,1.00779779636944,0.554180314815986,5,2155,16.4,30,79
16,5,2,40,0.772760792141028,3,0.316467842919138,0.325811655669941,2,2234,16.1,30,203
14,3,1,19,0.256541787151946,3,0.369984173767151,0.60495910064981,2,2234,16.1,30,203
5,5,1,40,0.542566367064762,4,1.28442009675287,0.352931768188867,2,2234,16.1,30,203
30,5,3,33,0.772740741821757,1,0.77347021595058,0.463020441290157,2,2234,16.1,30,203
31,2,2,22,0.528468252237699,4,0.979041834121349,0.603871112177099,4,2419,16.5,30,150
5,5,1,43,0.569790188926989,2,1.17205489882175,0.569569522195727,2,2234,16.1,30,203
17,2,2,16,0.549404575008433,4,0.473266048900265,0.359844952533196,4,2228,15.8,30,121
7,2,1,40,0.200786901486484,1,1.02187046516891,0.615309811675864,5,2234,16.1,30,203
15,4,4,36,0.504028469862542,4,1.35462386422162,0.434660178022499,2,2234,16.1,30,203
23,4,3,16,0.584930278491008,2,1.26122312766866,0.396284795234811,4,2360,16.4,30,242
18,2,2,25,0.524059091117308,1,0.887475298857514,0.628771689489653,5,2155,16.4,30,79
3,2,3,41,0.87413376124469,3,0.350940670895665,0.467118884947661,4,2155,16.4,30,79
29,5,3,10,0.247609563563881,1,0.65073880213681,0.552594196325568,2,2234,16.1,30,203
20,2,2,24,0.163147892600794,4,1.13881831933527,0.496371380194735,4,2155,16.4,30,79
2,4,4,36,0.306120575493527,2,1.17420705545364,0.594715994190038,2,2234,16.1,30,203
1,2,4,7,0.456860258992745,4,1.0367454408808,0.644849650078499,5,2265,16,30,216
6,2,4,26,0.808352567237612,3,0.21381729147656,0.566955625841866,2,2234,16.1,30,203
21,3,4,17,0.37767439828108,1,0.723872535798378,0.447001719087819,3,2234,16.1,30,203
11,5,1,22,0.455167842489515,3,0.537918559114568,0.364573332886924,5,1985,19,30,37
17,3,4,25,0.32176040882534,3,0.482321310271498,0.380737528331058,4,2155,16.4,30,79
5,3,2,41,0.267805728219501,3,0.362445223583485,0.362818374924359,3,1995,15.9,30,28
7,2,4,46,0.279824986420428,1,0.813497130274866,0.614887958391514,5,2234,16.1,30,203
22,2,4,32,0.150157370830375,2,0.245466110501818,0.495431790958757,3,2155,16.4,30,79
19,3,3,44,0.418720921032025,4,0.74462597687999,0.370844626911843,3,2644,16,30,204
